Date,Open,High,Low,Close,Volume
2014-06-26,93.35,93.36,92.62,93.34,22563900
2014-06-27,93.22,93.77,93.19,93.75,22877800
2014-06-30,93.73,94.14,93.67,93.91,19751900
2014-07-01,94.24,95.19,94.2,94.94,31862500
2014-07-02,95.0,95.24,94.91,95.1,18777300
2014-07-03,95.41,95.7,95.15,95.7,15291700
2014-07-07,95.59,95.71,95.23,95.41,23266400
2014-07-08,95.23,95.3,93.87,94.26,40612400
2014-07-09,94.51,95.07,94.24,94.96,29919000
2014-07-10,93.74,95.05,93.63,94.66,44245300
2014-07-11,94.9,95.27,94.61,95.27,19566300
2014-07-14,95.7,96.06,95.54,95.84,19579000
2014-07-15,95.99,96.13,94.83,95.51,39467500
2014-07-16,96.2,96.3,95.79,95.89,22052600
2014-07-17,95.63,95.97,94.32,94.62,43111500
2014-07-18,95.11,96.17,95.0,96.12,36682200
2014-07-21,95.92,96.16,95.55,96.0,29750700
2014-07-22,96.45,96.76,96.35,96.61,25770400
2014-07-23,96.95,97.34,96.77,97.23,28947500
2014-07-24,97.4,97.51,96.98,97.12,24707200
2014-07-25,96.62,96.87,96.23,96.74,29898900
2014-07-28,96.84,97.02,96.02,96.77,25603400
2014-07-29,96.98,97.2,96.52,96.6,27022200
2014-07-30,97.14,97.32,96.6,96.98,35348500
2014-07-31,96.18,96.34,94.88,95.02,50047900
2014-08-01,94.82,95.34,94.04,94.67,60708000
2014-08-04,94.87,95.69,94.52,95.32,33230500
2014-08-05,94.94,95.21,94.15,94.59,50331100
2014-08-06,94.0,95.11,93.92,94.52,34431900
2014-08-07,94.96,95.14,93.89,94.22,33274700
2014-08-08,94.37,95.01,93.97,94.9,40236900
2014-08-11,95.27,95.76,95.2,95.46,28277500
2014-08-12,95.36,95.67,94.93,95.42,28152300
2014-08-13,95.81,96.47,95.76,96.43,27996500
2014-08-14,96.56,96.95,96.43,96.93,25006600
2014-08-15,97.49,97.63,96.48,97.4,55205500
2014-08-18,97.91,98.24,97.77,98.15,38938300
2014-08-19,98.38,98.76,98.32,98.7,21363400
2014-08-20,98.62,98.9,98.53,98.7,23435600
2014-08-21,98.75,98.95,98.6,98.9,19339500
2014-08-22,98.94,99.25,98.72,99.05,24692000
2014-08-25,99.52,99.68,99.16,99.4,24124700
2014-08-26,99.55,99.61,99.27,99.5,20100400
2014-08-27,99.53,99.64,99.31,99.52,15589100
2014-08-28,99.18,99.53,99.08,99.41,23563900
2014-08-29,99.63,99.91,99.27,99.78,17906300
2014-09-02,100.02,100.1,99.66,100.07,18326800
2014-09-03,100.34,100.34,99.3,99.48,25950700
2014-09-04,99.71,100.22,99.14,99.39,24663500
2014-09-05,99.54,99.95,99.03,99.89,30798200
2014-09-08,99.92,100.33,99.62,100.08,25571300
2014-09-09,100.09,100.46,99.06,99.25,36449200
2014-09-10,99.38,100.11,99.1,100.07,31080100
2014-09-11,99.64,100.04,99.24,99.99,28691900
2014-09-12,99.9,99.93,99.17,99.48,30444400
2014-09-15,99.59,99.6,98.22,98.52,32972200
2014-09-16,98.15,99.57,98.05,99.38,38166900
2014-09-17,99.36,100.0,98.93,99.53,37196500
