Date,Open,High,Low,Close,Volume,rsi,awesome_oscillator,force_index,ease_of_movement,ease_of_movement_signal,bbands_upper,bbands_middle,bbands_lower,atr,macd,macd_signal,aroon,aroon_up,aroon_down
2014-02-18,17.76399994,17.78650093,17.47249985,17.68250084,99960000,39.16471531,-1.25497494,-19388814.6687004,-0.05897695,0.00536572,18.28545204,17.75090027,17.21634849,0.55067765,-0.40882268,-0.40969492,-45.0,5.0,50.0
2014-02-19,17.63199997,17.72699928,17.30500031,17.36899948,83362000,35.41435838,-1.28042498,-20615230.22135168,-0.0574568,0.00341726,18.29035598,17.74805031,17.20574464,0.53780978,-0.42019723,-0.41179538,-40.0,5.0,45.0
2014-02-20,17.44000053,17.52300072,17.21899986,17.48999977,69856000,37.96200877,-1.24497499,-15330170.86248021,-0.0631012,0.01501833,18.2619643,17.76480026,17.26763623,0.51442889,-0.410865,-0.41160931,-10.0,30.0,40.0
2014-02-21,17.62199974,17.70700073,17.33749962,17.33799934,84200000,35.98097159,-1.17723344,-14869855.4282331,0.06637411,0.00063505,18.28547727,17.72565022,17.16582316,0.49993611,-0.41000239,-0.41128792,-10.0,25.0,35.0
2014-02-24,17.2595005,17.64999962,17.16449928,17.5890007,72894000,41.57507345,-1.16836672,-8839610.26084506,-0.07659463,-0.02324248,18.19789957,17.6791502,17.16040083,0.49849253,-0.3805325,-0.40513684,-10.0,20.0,30.0
2014-02-25,17.64999962,18.05400085,17.57900047,17.91600037,74728000,48.13534091,-1.06021668,-2789493.68354475,0.26013607,-0.00752667,18.15403657,17.66640015,17.17876373,0.49614332,-0.32381616,-0.3888727,-10.0,15.0,25.0
2014-02-26,17.99300003,18.23749924,17.85849953,17.98999977,72442000,49.55944469,-0.89855839,-1307646.67012037,0.12111475,0.01099493,18.11216316,17.65645008,17.200737,0.48442896,-0.26981726,-0.36506162,-10.0,10.0,20.0
2014-02-27,17.86100006,18.02949905,17.77499962,18.00650024,62098000,49.90026947,-0.73078356,-883593.38941689,-0.05973349,0.02214438,18.1902292,17.71085014,17.23147109,0.46143601,-0.22374328,-0.33679795,-10.0,5.0,15.0
2014-02-28,18.03000069,18.2935009,17.85400009,18.10499954,77640000,52.04929005,-0.56307519,667511.86395898,0.09708256,0.03244528,18.26511079,17.73535004,17.20558928,0.45924249,-0.17723414,-0.30488519,90.0,100.0,10.0
2014-03-03,17.93700027,18.04800034,17.72400093,17.98900032,55966000,49.28309627,-0.40627495,-634219.8290076,-0.1086925,0.01201519,18.29413142,17.74750004,17.20086865,0.4514181,-0.14977953,-0.27386406,90.0,95.0,5.0
2014-03-04,18.19499969,18.2840004,18.12299919,18.19499969,54088000,54.09679711,-0.27136679,1506928.16935511,0.09450848,0.02736374,18.4043175,17.79874992,17.19318235,0.4357763,-0.10902696,-0.24089664,90.0,100.0,10.0
2014-03-05,18.2064991,18.6364994,18.19499969,18.61849976,76966000,62.27566237,-0.13717508,7159324.08358724,0.12175273,0.04528469,18.63022935,17.92369995,17.21717055,0.43634864,-0.04030489,-0.20077829,95.0,100.0,5.0
2014-03-06,18.70249939,18.76650047,18.44499969,18.6079998,58532000,61.97148048,0.0583834,5745886.3737318,0.10436226,0.06203103,18.7846695,18.03549995,17.28633041,0.42486385,0.01035613,-0.15855141,40.0,95.0,55.0
2014-03-07,18.72900009,18.74950027,18.47649956,18.60300064,45596000,61.81176268,0.21576662,4659735.80863257,0.00434075,0.0558277,18.81886068,18.16200008,17.50513949,0.40967754,0.04724628,-0.11739187,40.0,90.0,50.0
2014-03-10,18.6345005,18.6364994,18.35000038,18.5265007,42116000,59.21681866,0.37699982,3226716.31080059,-0.08146136,0.05534103,18.81977363,18.25575008,17.69172654,0.39735969,0.06711309,-0.08049088,40.0,85.0,45.0
2014-03-11,18.54949951,18.63999939,18.36400032,18.44099998,44922000,56.28256982,0.46545817,1941701.85130954,0.00537594,0.02986501,18.83232316,18.30825005,17.78417693,0.38522362,0.0732549,-0.04974172,40.0,80.0,40.0
