Date,Open,High,Low,Close,Volume,rsi,stoch_rsi,stoch_rsi_d,stoch_rsi_k,stoch_osc,awesome_osc,force_index,ease_move,ease_move_signal,obv,adi,bbands_upper,bbands_middle,bbands_lower,atr,macd,macd_signal,aroon,aroon_up,aroon_down,adx,adx_neg,adx_pos,ema_50,ema_200,sma_50,sma_200
2014-09-22,99.73999786,99.75,98.62000275,99.05000305,48658000,51.26240585,0.07310121,0.33964897,0.30431632,39.84072464,1.18623628,-5092677.25477656,-2.05525437,-0.26021101,614949700,1232125406.0408335,100.42196059,99.60250015,98.78303971,0.94743802,0.56969011,0.74124338,88.0,92.0,4.0,18.39430219,21.39515554,16.71925265,97.62395211,91.60920199,97.64919998,91.05025002
2014-09-23,98.65000153,99.22000122,98.58000183,98.77999878,33989600,49.19723876,0.0,0.27553939,0.14585077,29.08355877,1.08011863,-5676200.10684252,-0.53663394,-0.2813663,580960100,1219379002.1498384,100.46299984,99.57150002,98.68000019,0.92547812,0.46934851,0.6868644,12.0,88.0,76.0,18.00966007,20.64706384,15.89340064,97.66928727,91.68055321,97.70800003,91.11725002
2014-09-24,98.87999725,99.88999939,98.54000092,99.83999634,35959000,56.590847,0.34533108,0.19654817,0.13947743,71.31462962,0.89188331,579893.08120251,1.18259035,-0.15310627,616919100,1252674206.9343219,100.48683806,99.58849983,98.69016161,0.955801,0.4699428,0.64348008,12.0,84.0,72.0,16.86153008,18.56403127,19.29695956,97.75441312,91.76174169,97.79459991,91.18645
2014-09-25,99.51999664,99.65000153,97.69999695,97.73999786,68642500,43.18248926,0.0,0.13347952,0.11511036,1.39863311,0.5025298,-20095683.82466316,-1.53404124,-0.2221398,548276600,1186847867.3429434,100.7068859,99.49949989,98.29211388,1.0403866,0.2975317,0.57429041,-20.0,80.0,100.0,16.62199043,21.60365555,16.46178535,97.75384781,91.82122683,97.83159988,91.2434
2014-09-26,98.05999756,98.95999908,97.88999939,98.77999878,56106200,49.55677679,0.28573872,0.15498146,0.2103566,37.76229373,0.05779448,-8889086.22588839,-0.47677427,-0.35238349,604382800,1224077177.618386,100.71529527,99.46799965,98.22070402,1.05321622,0.24202414,0.50783715,-20.0,76.0,96.0,16.39956074,19.81617248,15.09973981,97.79408903,91.89046834,97.9147998,91.30584999
2014-09-29,97.80000305,98.91999817,97.75,98.65000153,33342700,48.81950443,0.25268918,0.16831431,0.17947597,33.21693619,-0.19617655,-8238425.25383852,-0.3158113,-0.31595409,571040100,1242031106.4053757,100.69887422,99.41149979,98.12412535,1.06155778,0.18540705,0.44335113,-20.0,72.0,92.0,16.36879278,19.19814902,13.9110105,97.82765422,91.95772738,97.96539978,91.3732
2014-09-30,98.91999817,99.30000305,98.31999969,98.79000092,41834300,49.68761777,0.30441304,0.22359318,0.28094698,38.11201869,-0.31741194,-6224825.0080945,1.11273246,-0.20049494,612874400,1240323550.7234426,100.62479257,99.34749985,98.07020712,1.05573247,0.15010407,0.38470172,-20.0,68.0,88.0,15.7042014,17.9252176,15.55967299,97.86539331,92.0257102,98.0211998,91.44235001
2014-10-01,98.51000214,98.61000061,96.90000153,97.20999908,58164900,41.19514585,0.0,0.21537456,0.18570074,8.46988783,-0.65764703,-18464228.36452568,-3.10161206,-0.42900926,554709500,1203247523.997793,100.81204209,99.23399963,97.65595718,1.11532296,-0.00530558,0.30670026,-36.0,64.0,100.0,16.65404669,24.84961594,13.67631252,97.83969157,92.07729516,98.03319977,91.50415001
2014-10-02,97.16999817,97.51000214,95.97000122,97.20999908,54501300,41.19514585,0.0,0.18937291,0.10147101,27.01522556,-1.04611722,-15826481.45530773,-2.86800496,-0.6178187,609210800,1236514347.8881874,100.92975512,99.12499962,97.32024412,1.1456571,-0.12700482,0.21995924,-36.0,60.0,96.0,18.25985347,28.26198072,12.36318378,97.81499775,92.12836684,98.03279968,91.56360001
2014-10-03,97.77999878,98.56999969,97.44000244,98.16999817,41627800,47.51625587,0.30242386,0.12932657,0.10080795,47.93025498,-1.15805805,-7856605.54903365,3.43387312,-0.1812126,650838600,1248670954.9828663,100.85363974,99.03899956,97.22435937,1.16096735,-0.14432475,0.14710245,-36.0,56.0,92.0,18.26942208,25.89718486,17.85034549,97.82891934,92.18848258,98.05379959,91.62869999
2014-10-06,98.48000336,98.72000122,97.66000366,97.95999908,36038700,46.34272899,0.24627826,0.12839322,0.18290071,43.35510788,-1.19249871,-7815389.61425523,0.54414006,-0.11389946,614799900,1233031254.8489916,100.73967763,98.93299942,97.12632121,1.15375522,-0.17300183,0.08308159,-36.0,52.0,88.0,18.09045183,24.19770624,17.60758726,97.83405972,92.2459106,98.07819962,91.68779999
2014-10-07,97.5,97.77999878,96.55999756,96.56999969,45154000,39.405452,0.0,0.15553646,0.18290071,13.07187261,-1.48020515,-15665195.73224528,-2.75591633,-0.44533481,569645900,1188617641.7464576,100.86996966,98.7989994,96.72802915,1.17134425,-0.30438124,0.00558902,-52.0,48.0,100.0,18.82227298,28.83973459,16.10439069,97.78448874,92.28893637,98.07419968,91.74114998
2014-10-08,96.62000275,98.76000214,96.05999756,98.44999695,64931600,50.25238554,0.54763972,0.21014691,0.26463933,54.03045112,-1.51082304,4011436.46665179,0.99798192,-0.44624365,634577500,1238638798.237507,100.70896534,98.71799927,96.72703319,1.28053427,-0.25387381,-0.04630354,-52.0,44.0,96.0,18.35359659,24.49626766,19.14544319,97.8105871,92.35024045,98.11119965,91.80089996
