Date,AMZN,AAPL,MSFT,GOOGL,TSLA,NVDA,META,NFLX
2014-10-17,15.3575,24.375,43.2,27.0225,15.5587,4.415,74.23,51.4014
2014-10-20,15.1475,24.58,43.06,26.0225,15.1147,4.355,75.6,50.8571
2014-10-21,15.495,25.755,44.36,26.8635,15.618,4.425,77.56,51.7514
2014-10-22,15.7715,25.71,45.0,27.0525,15.546,4.5725,78.82,52.7129
2014-10-23,15.67,26.02,44.62,27.414,15.644,4.55,79.38,54.36
2014-10-24,14.22,26.295,46.83,27.749,15.7513,4.6,80.2,54.6543
2014-10-27,14.285,26.2125,45.71,27.388,15.6167,4.6175,80.74,54.8429
2014-10-28,14.488,26.35,45.86,27.5855,15.3067,4.61,80.18,54.25
2014-10-29,14.9555,26.6625,46.44,28.0425,16.0753,4.7125,75.45,55.1743
2014-10-30,14.699,26.74,46.32,27.9125,15.876,4.69,75.05,53.93
2014-10-31,15.2575,27.0025,46.94,28.415,16.1673,4.78,74.93,54.9143
2014-11-03,15.312,27.055,46.89,28.1765,16.2,4.9975,75.47,56.1757
2014-11-04,15.1995,27.34,47.3,28.058,16.0327,5.0,74.23,55.2743
2014-11-05,15.1505,27.275,47.8,28.3395,16.0667,5.0625,76.51,55.0871
2014-11-06,14.8345,27.15,47.86,27.775,15.6327,5.0425,74.89,54.0
2014-11-07,14.891,27.1875,48.92,27.78,16.146,5.1125,75.39,54.7771
2014-11-10,15.0,27.255,48.65,27.62,15.9407,4.9425,75.36,54.7143
2014-11-11,15.297,27.175,48.85,27.926,16.17,4.975,74.95,55.3243
2014-11-12,15.5375,27.345,48.56,28.0575,16.648,4.9275,74.28,54.4471
2014-11-13,15.6,27.95,48.81,28.0405,16.708,4.93,74.74,54.9229
2014-11-14,15.856,28.2875,49.74,27.9,16.6667,4.8925,74.27,54.1971
2014-11-17,16.322,28.5675,49.41,27.7595,17.166,4.925,74.88,55.0543
2014-11-18,16.1995,28.485,49.13,27.3965,17.0573,4.9275,74.45,54.4286
2014-11-19,16.3625,28.86,48.66,27.2375,16.7073,5.025,74.01,54.7443
2014-11-20,16.2,28.7275,48.0,27.1045,16.53,4.9675,72.8,51.87
2014-11-21,16.771,29.3775,49.02,27.552,16.814,5.13,74.5,53.2114
2014-11-24,16.739,29.2125,47.99,27.3285,16.3467,5.125,73.54,51.5086
2014-11-25,16.7635,29.7675,47.66,27.3605,16.49,5.135,74.21,50.1457
2014-11-26,16.689,29.485,47.49,27.4615,16.556,5.1125,75.53,50.1543
2014-11-28,16.8015,29.8175,47.95,27.35,16.3567,5.2475,77.67,50.5129
2014-12-01,16.906,29.7025,47.88,27.2545,16.0773,5.22,77.26,49.2857
2014-12-02,16.375,28.375,48.84,26.9725,15.638,5.14,75.33,48.7571
2014-12-03,16.2865,28.9375,48.44,26.875,15.0833,5.1775,75.38,50.2214
2014-12-04,15.7765,28.9425,48.39,26.882,15.24,5.2775,74.83,50.4286
2014-12-05,15.84,28.9975,48.82,26.835,15.2447,5.24,75.8,50.1471
2014-12-08,15.5785,28.525,48.26,26.461,14.7693,5.26,76.18,49.8814
2014-12-09,15.1495,27.5475,47.11,26.294,13.956,5.1675,75.2,47.82
2014-12-10,15.6,28.6025,47.58,26.795,14.2753,5.1675,76.65,49.0214
2014-12-11,15.3945,28.065,47.08,26.5005,14.0353,5.0975,76.52,48.0129
2014-12-12,15.1995,27.615,46.78,26.372,13.6547,4.9975,77.16,47.4171
2014-12-15,15.4435,27.675,47.2,26.188,13.9527,4.965,78.46,48.0557
2014-12-16,15.2175,26.5925,45.9,25.68,13.3927,4.8875,76.19,46.4271
2014-12-17,14.8185,26.78,45.05,24.993,12.8707,4.935,75.01,45.3757
2014-12-18,15.2005,27.9675,46.58,25.7995,14.1587,5.0975,76.89,48.4
2014-12-19,14.8455,28.065,47.63,25.8495,14.6793,5.09,78.75,47.9
2014-12-22,15.097,28.04,47.78,26.0305,14.6667,5.1,80.08,48.5429
2014-12-23,15.349,28.3075,48.37,26.7255,14.9207,5.235,82.02,48.2871
